feature,mdi_importance,perm_importance_mean,perm_importance_std,mean_abs_shap,rank_mdi,rank_perm,rank_shap,rank_avg
ix_vix_level__revenue,0.014859069935942769,-0.007261294249172841,0.00888303878321541,0.01920722457284639,13.0,52.0,11.0,25.333333333333332
ix_vix_level__price_returns_12m,0.015096941016554892,-0.008882634464055631,0.020845061505447134,0.019350570742263398,12.0,55.0,10.0,25.666666666666668
ix_tnx_yield__rev_accel,0.009588399321989792,0.003116261436153452,0.003090326193003585,0.0035863104098287995,21.0,15.0,42.0,26.0
revenue,0.009606546940152299,-2.1326443092976413e-07,1.4644621485324117e-06,0.007873509841122771,20.0,34.0,25.0,26.333333333333332
ix_tnx_change_3m__rev_accel,0.011795936590761958,-0.0004658955343523748,0.005656624320584239,0.0058812298460540445,15.0,36.0,30.0,27.0
ix_tnx_change_3m__price_returns_1m,0.008831656209881677,-0.0006097303234882853,0.0066236319098401,0.009077961556035855,29.0,38.0,18.0,28.333333333333332
price_to_ma_4q,0.016652538845272267,-0.008063369977231094,0.006855460119014117,0.008259236932375224,10.0,53.0,24.0,29.0
ix_vix_change_3m__rev_accel,0.010665808872468728,-0.011029737719589075,0.006711331354078134,0.012177272260540033,16.0,58.0,15.0,29.666666666666668
ix_vix_level__rev_accel,0.005588136277658757,0.00771833467759336,0.004287538118785404,0.004603968405323327,42.0,9.0,38.0,29.666666666666668
price_returns_1m,0.004779575186839512,0.0032840021856402816,0.0039313633101519295,0.005641229069023759,47.0,14.0,31.0,30.666666666666668
price_volatility,0.011929974620306759,0.0006256875672634813,0.001693913352125222,0.0017466101261597933,14.0,25.0,54.0,31.0
ix_tnx_change_3m__rev_yoy,0.007446567813960697,0.00727718250848813,0.004511154328829303,0.0025976652861687656,34.0,10.0,51.0,31.666666666666668
rev_accel,0.006551927551095765,0.0024579561745286488,0.003777736679675119,0.0037864816074374475,39.0,17.0,40.0,32.0
ix_vix_change_3m__price_returns_12m,0.008947072119446065,-0.0027325371723736207,0.008773656738589023,0.007370653338263215,27.0,47.0,26.0,33.333333333333336
vix_level,0.009529775950707748,0.0010867521612941318,0.0022864693428131604,0.0013224367913457795,22.0,24.0,57.0,34.333333333333336
ix_vix_level__price_returns_6m,0.008928393495839806,-0.00888310498031708,0.008476697856219292,0.00884030908624975,28.0,56.0,20.0,34.666666666666664
price_returns_6m,0.009357622353676067,-0.005939205607304802,0.007561325110371127,0.005613282489663288,23.0,51.0,32.0,35.333333333333336
ix_vix_change_3m__price_momentum,0.006347255853683052,0.0017984945827051865,0.001282361294847639,0.0026402787028056854,40.0,22.0,49.0,37.0
ix_vix_level__price_returns_3m,0.006783922200995251,-0.0055634583379452485,0.0054632145535626325,0.007219622869440948,35.0,50.0,27.0,37.333333333333336
ix_vix_level__price_momentum,0.0046849247309801055,0.00016498590137017377,0.0029319672409942312,0.005052152456163056,49.0,27.0,36.0,37.333333333333336
ix_tnx_change_3m__price_volatility,0.006632518450103008,-0.009660351191208642,0.012079332794289879,0.008918764609238967,37.0,57.0,19.0,37.666666666666664
ix_vix_change_3m__rev_yoy,0.00774868051582172,-0.005172444930486231,0.004848945989428018,0.005093700880653765,32.0,49.0,34.0,38.333333333333336
month,0.00428171138379546,0.00540571002316738,0.0042751805345172585,0.0027284987307723265,55.0,12.0,48.0,38.333333333333336
ix_vix_level__price_returns_1m,0.005191584283438081,-0.0007631201316813755,0.003411751649702757,0.005415543194854451,45.0,39.0,33.0,39.0
price_returns_3m,0.00386400871267855,0.002319183742024726,0.0023794409427886406,0.0033926738543926653,57.0,18.0,44.0,39.666666666666664
vix_change_3m,0.004014264411809481,0.0018151176167896374,0.0044972588520202,0.002860350496406864,56.0,21.0,47.0,41.333333333333336
ix_tnx_yield__price_returns_12m,0.006635442230002826,-0.0022615206807180175,0.0043669261855273514,0.003245366515960471,36.0,45.0,46.0,42.333333333333336
quarter,0.002927736485724008,0.0034602414333970116,0.003073259022357065,0.0016399308256806904,60.0,13.0,55.0,42.666666666666664
ix_tnx_yield__rev_qoq,0.004818498974882794,2.788275342286243e-05,0.0009189718308954798,0.0013919464473079802,46.0,28.0,56.0,43.333333333333336
